UID          PID    PPID  C STIME TTY          TIME CMD
root         343       2  0 23:24 ?        00:00:00 [loop7]
root         344       2  0 23:24 ?        00:00:00 [loop8]
root         347       2  0 23:24 ?        00:00:00 [iprt-VBoxWQueue]
root         351       2  0 23:24 ?        00:00:00 [loop9]
root         361       2  0 23:24 ?        00:00:00 [loop10]
root         366       2  0 23:24 ?        00:00:00 [cryptd]
root         386       2  0 23:24 ?        00:00:00 [loop11]
root         392       2  0 23:24 ?        00:00:00 [loop12]
systemd+     576       1  0 23:24 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     577       1  0 23:24 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         604       1  0 23:24 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         605       1  0 23:24 ?        00:00:00 /usr/sbin/acpid
avahi        608       1  0 23:24 ?        00:00:00 avahi-daemon: running [dan-VirtualBox.local]
root         609       1  0 23:24 ?        00:00:00 /usr/sbin/cron -f
root         612       1  0 23:24 ?        00:00:00 /usr/sbin/cupsd -l
message+     614       1  0 23:24 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         616       1  0 23:24 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         622       1  0 23:24 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         627       1  0 23:24 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         630       1  0 23:24 ?        00:00:01 /usr/lib/policykit-1/polkitd --no-debug
syslog       640       1  0 23:24 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         643       1  0 23:24 ?        00:00:01 /usr/lib/snapd/snapd
root         644       1  0 23:24 ?        00:00:00 /usr/libexec/switcheroo-control
root         645       1  0 23:24 ?        00:00:00 /lib/systemd/systemd-logind
root         647       1  0 23:24 ?        00:00:00 /usr/lib/udisks2/udisksd
root         649       1  0 23:24 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        656     608  0 23:24 ?        00:00:00 avahi-daemon: chroot helper
root         688       1  0 23:24 ?        00:00:00 /usr/sbin/cups-browsed
lp           689     612  0 23:24 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
